id	key	day	weekday	ruf	ruf_id	lesung_1	lesung_1id	antwort	antwortid	lesung_2	lesung_2id	evangelium	evangeliumid	variant	overwrite	ende	gotteslob	unterwegs
243	Wochentag nach Aschermittwoch		Sa			Jes 58,9b-14	1030	Ps 86,1-2.3-4.5-6	1032			|break|Lk 5,27-32	1033			.	NULL	NULL
244	1. SONNTAG DER FASTENZEIT				11090	Gen 2,7-9;3,1-7	142	|break|Ps 51,3-4.5-6b.12-14.17	1024	Röm 5,12-19	143	|break|Mt 4,1-11	144	A		.	272; 275; 277; 423; 439	45; 37
245	1. SONNTAG DER FASTENZEIT				11155	Gen 9,8-15	407	Ps 25,4-5.6-7.8-9	2671	1 Petr 3,18-22	408	Mk 1,12-15	1034	B		.	272; 275; 423; 427; 484	37; 45
246	1. SONNTAG DER FASTENZEIT			vgl. Mt 4,4b	11213	Dtn 26,4-10	1724	Ps 91,1-2.10-11.12-13.14-15	1187	Röm 10,8-13	1727	Lk 4,1-13	1728	C		.	272; 275; 277; 417; 423;437; 638	37; 45; 93
247	Wochentag (1. Woche der Fastenzeit)		Mo			Lev 19,1-2.11-18	900	Ps 19,8.9.10.11 u. 15	917			Mt 25,31-46	1035			.	NULL	NULL
248	Wochentag (1. Woche der Fastenzeit)		Di			Jes 55,10-11	1036	Ps 34,4-5.6-7.16-17.18-19	1037			Mt 6,7-15	1038			.	NULL	NULL
249	Wochentag (1. Woche der Fastenzeit)		Mi			Jona 3,1-10	1039	|break|Ps 51,3-4.12-13.18-19	1040			|break|Lk 11,29-32	1041			.	NULL	NULL
250	Wochentag (1. Woche der Fastenzeit)		Do			Est 4,17k.17l-m.17r-t	1042	|break|Ps 138,1-2b.2c-3.7c-8	1043			Mt 7,7-12	1044			.	NULL	NULL
251	Wochentag (1. Woche der Fastenzeit)		Fr			Ez 18,21-28	1045	Ps 130,1-2.3-4.5-6b.6c-7a u. 8	1046			Mt 5,20-26	1047			.	NULL	NULL
252	Wochentag (1. Woche der Fastenzeit)		Sa			Dtn 26,16-19	1048	|break|Ps 119,1-2.4-5.7-8	1049			Mt 5,43-48	1050			.	NULL	NULL
253	2. SONNTAG DER FASTENZEIT				11091	Gen 12,1-4a	145	Ps 33,4-5.18-20 u. 22	1062	2 Tim 1,8b-10	146	Mt 17,1-9	147	A		.	183; 363; 377; 481	81; 133
254	2. SONNTAG DER FASTENZEIT			vgl. Mk 9,7	11156	Gen 22,1-2.9a.10-13.15-18	410	Ps 116,10 u. 15.16-17.18-19	1063	Röm 8,31b-34	411	Mk 9,2-10	412	B		.	216; 363; 368; 377; 481	81; 133; 198
255	2. SONNTAG DER FASTENZEIT			Phil 3,20 – 4,1	11214	Gen 15,5-12.17-18	1729	Ps 27,1.7-8.9.13-14	1188	Phil 3,17 - 4,1	1730	Lk 9,28b-36	1732	C		.	216; 363; 368; 377; 414; 481; 657,6	81; 108; 133; 198
256	Wochentag (2. Woche der Fastenzeit)		Mo			Dan 9,4b-10	1051	Ps 79,5 u. 8.9.11 u. 13	1052			Lk 6,36-38	1053			.	NULL	NULL
257	Wochentag (2. Woche der Fastenzeit)		Di			Jes 1,10.16-20	1054	|break|Ps 50,8-9.16b-17.21.23	1055			|break|Mt 23,1-12	1056			.	NULL	NULL
258	Wochentag (2. Woche der Fastenzeit)		Mi			Jer 18,18-20	1057	Ps 31,5-6.12 u. 14.15-16	1058			Mt 20,17-28	1059			.	NULL	NULL
259	Wochentag (2. Woche der Fastenzeit)		Do			Jer 17,5-10	1060	Ps 1,1-2.3.4 u. 6	1015			|break|Lk 16,19-31	1064			.	NULL	NULL
260	Wochentag (2. Woche der Fastenzeit)		Fr			Gen 37,3-4.12-13a.17b-28	1065	Ps 105,16-17.18-19.20-21	1066			Mt 21,33-43.45-46	1067			.	NULL	NULL
261	Wochentag (2. Woche der Fastenzeit)		Sa			Mi 7,14-15.18-20	1068	|break|Ps 103,1-2.3-4.9-10.11-12	1069			|break|Lk 15,1-3.11-32	1070			.	NULL	NULL
262	3. SONNTAG DER FASTENZEIT				11092	Ex 17,3-7	148	Ps 95,1-2.6-7c.7d-9	948	Röm 5,1-2.5-8	149	Joh 4,5-42	150	A		.	186; 422; 427; 489; 491	58; 104; 136; 181
263	3. SONNTAG DER FASTENZEIT				11157	Ex 20,1-17	413	Ps 19,8.9.10.11-12	1071	1 Kor 1,22-25	415	Joh 2,13-25	416	B		.	215; 267; 268; 297; 387; 429	58; 104; 181
264	3. SONNTAG DER FASTENZEIT			Mt 4,17	11215	Ex 3,1-8a.10.13-15	1733	Ps 103,1-2.3-4.6-7.8 u. 11	1189	1 Kor 10,1-6.10-12	1734	Lk 13,1-9	1735	C		.	266; 267; 268; 387; 440; 464	37; 53; 85; 255
265	Wochentag (3. Woche der Fastenzeit)		Mo			2 Kön 5,1-15a	1072	Ps 42,2-3; 43,3.4|break|	1073			Lk 4,24-30	1074			.	NULL	NULL
266	Wochentag (3. Woche der Fastenzeit)		Di			Dan 3,25.34-43	1075	Ps 25,4-5.6-7.8-9	1076			Mt 18,21-35	1077			.	NULL	NULL
267	Wochentag (3. Woche der Fastenzeit)		Mi			Dtn 4,1.5-9	1078	Ps 147,12-13.15-16.19-20	1079			Mt 5,17-19	1080			.	NULL	NULL
268	Wochentag (3. Woche der Fastenzeit)		Do			Jer 7,23-28	1081	Ps 95,1-2.6-7c.7d-9	948			Lk 11,14-23	1082			.	NULL	NULL
269	Wochentag (3. Woche der Fastenzeit)		Fr			Hos 14,2-10	1087	Ps 81,6c-8b.8c-9.10-11b.14 u. 17	1088			Mk 12,28b-34	1089			.	NULL	NULL
270	Wochentag (3. Woche der Fastenzeit)		Sa			Hos 6,1-6	1090	Ps 51,3-4.18-19.20-21	1091			Lk 18,9-14	72			.	NULL	NULL
271	4. SONNTAG DER FASTENZEIT				11093	1 Sam 16,1b.6-7.10-13b	151	Ps 23,1-3.4.5.6	1246	Eph 5,8-14	152	Joh 9,1-41	153	A		.	143; 268; 272; 461; 485	45; 261
272	4. SONNTAG DER FASTENZEIT				11158	2 Chr 36,14-16.19-23	417	|break|Ps 137,1-2.3-4.5-6	1092	Eph 2,4-10	418	|break|Joh 3,14-21	419	B		.	142; 366; 427; 438; 477; 485	28; 134; 261
273	4. SONNTAG DER FASTENZEIT			Lk 15,18	11216	Jos 5,9a.10-12	1736	Ps 34,2-3.4-5.6-7	1190	2 Kor 5,17-21	1737	Lk 15,1-3.11-32	1070	C		.	146; 209; 274; 365; 366; 427	42; 67; 103; 204 (27)
274	Wochentag (4. Woche der Fastenzeit)		Mo			Jes 65,17-21	1093	Ps 30,2 u. 4.5-6b.6cd u. 12a u. 13b	818			Joh 4,43-54	1094			.	NULL	NULL
275	Wochentag (4. Woche der Fastenzeit)		Di			Ez 47,1-9.12	1095	Ps 46,2-3.5-6.8-9	1096			Joh 5,1-16	1097			.	NULL	NULL
276	Wochentag (4. Woche der Fastenzeit)		Mi			Jes 49,8-15	1098	Ps 145,8-9.13c-14.17-18	1099			Joh 5,17-30	1100			.	NULL	NULL
277	Wochentag (4. Woche der Fastenzeit)		Do			Ex 32,7-14	1101	Ps 106,19-20.21-22.23-24	1102			Joh 5,31-47	1103			.	NULL	NULL
278	Wochentag (4. Woche der Fastenzeit)		Fr			Weish 2,1a.12-22	1104	Ps 34,17-18.19-20.21 u. 23	1105			Joh 7,1-2.10.25-30	1106			.	NULL	NULL
279	Wochentag (4. Woche der Fastenzeit)		Sa			Jer 11,18-20	1107	Ps 7,2-3.9-10.11-12	1111			Joh 7,40-53	1112			.	NULL	NULL
280	5. SONNTAG DER FASTENZEIT				11094	Ez 37,12b-14	638	Ps 130,1-2.3-4.5-6.7-8	1114	|break|Röm 8,8-11	155	Joh 11,1-45	639	A		.	209; 291; 294, 4-8; 464, 1.5-7	28; 89; 94
281	5. SONNTAG DER FASTENZEIT				11159	Jer 31,31-34	420	Ps 51,3-4.12-13.14-15	1113	Hebr 5,7-9	421	Joh 12,20-33	422	B		.	209; 210; 267; 272; 275; 297; 460	45; 52; 197
282	5. SONNTAG DER FASTENZEIT			vgl. Joel 2,12.13	11217	Jes 43,16-21	1738	Ps 126,1-2b.2c-3.4-5.6	1191	Phil 3,8-14	1739	Joh 8,1-11	1118	C		.	267; 271; 273; 275; 283; 291; 297; 460	52; 94; 195.2; 197
283	Wochentag (5. Woche der Fastenzeit)		Mo			Dan 13,1-9.15-17.19-30.33-62	1115	Ps 23,1-3.4.5.6	1117			Joh 8,1-11	1118			.	NULL	NULL
284	Wochentag (5. Woche der Fastenzeit)		Di			Num 21,4-9	1120	Ps 102,2-3.16-17.18-19.20-21	1121			Joh 8,21-30	1122			.	NULL	NULL
285	Wochentag (5. Woche der Fastenzeit)		Mi			Dan 3,14-21.49a.91-92.95	1123	Dan 3,52.53.54.55.56	1124			Joh 8,31-42	1125			.	NULL	NULL
286	Wochentag (5. Woche der Fastenzeit)		Do			Gen 17,1a.3-9	1126	Ps 105,4-5.6-7.8-9	1127			Joh 8,51-59	1128			.	NULL	NULL
287	Wochentag (5. Woche der Fastenzeit)		Fr			Jer 20,10-13	1129	Ps 18,2-3.4-5.6-7b.7cd u. 20	1130			Joh 10,31-42	1131			.	NULL	NULL
288	Wochentag (5. Woche der Fastenzeit)		Sa			Ez 37,21-28	1132	Jer 31,10.11-12b.13	1133			Joh 11,45-57	1134			.	NULL	NULL
289	PALMSONNTAG				11095	Jes 50,4-7	158	|break|Ps 22,8-9.17-18.19-20.23-24	1135	Phil 2,6-11	159	|break|Mt 26,14 - 27,66	7039	A		.	205; 280; 294; 297; 369	231
290	PALMSONNTAG				11160	Jes 50,4-7	158	|break|Ps 22,8-9.17-18.19-20.23-24	1135	Phil 2,6-11	159	|break|Mk 14,1 - 15,47	3731	B		.	205; 280; 294; 297; 369	94; 231
291	PALMSONNTAG				11160	Jes 50,4-7	158	|break|Ps 22,8-9.17-18.19-20.23-24	1135	Phil 2,6-11	159	|break|Lk 22,14 - 23,56	3732	C		.	205; 280; 290; 291; 294; 297; 360; 369	94; 231
292	Wochentag der Karwoche		Mo			Jes 42,5a.1-7	1136	Ps 27,1.2.3.13-14	1137			Joh 12,1-11	1138			.	NULL	NULL
293	Wochentag der Karwoche		Di			Jes 49,1-6	1139	Ps 71,1-2.3.5-6.15 u. 17	1140			Joh 13,21-33.36-38	1141			.	NULL	NULL
294	Wochentag der Karwoche		Mi			Jes 50,4-9a	538	|break|Ps 69,8-9.10 u. 12.21b-22.31 u. 33	1142			|break|Mt 26,14-25	1143			.	NULL	NULL
295	GRÜNDONNERSTAG				11097	Ex 12,1-8.11-14	164	|break|Ps 116,12-13.15-16.17-18	1144	|break|1 Kor 11,23-26	165	Joh 13,1-15	166	A		.	209; 215; 281; 282; 414; 493/494; 497	42; 46; 108; 131; 208/209
296	GRÜNDONNERSTAG				11097	Ex 12,1-8.11-14	164	|break|Ps 116,12-13.15-16.17-18	1144	|break|1 Kor 11,23-26	165	Joh 13,1-15	166	B		.	209; 215; 281; 282; 414; 493/494; 497	42; 46; 82; 108; 131; 208/209
297	GRÜNDONNERSTAG				11097	Ex 12,1-8.11-14	164	|break|Ps 116,12-13.15-16.17-18	1144	|break|1 Kor 11,23-26	165	Joh 13,1-15	166	C		.	305,1 (+ 282 oder 414) - 209; 215; 281; 282; 414; 493/494; 497 - 286; 287; 288	42; 46; 82; 108; 131; 208/209
298	KARFREITAG				11098	Jes 52,13 - 53,12	167	|break|Ps 31,2 u. 6.12-13.15-16.17 u. 25	1145	Hebr 4,14-16; 5,7-9|break|	168	Joh 18,1 - 19,42	7038	A		.	289; 291; 292; 294; 295	58; 94; 208/209
299	KARFREITAG				11098	Jes 52,13 - 53,12	167	|break|Ps 31,2 u. 6.12-13.15-16.17 u. 25	1145	Hebr 4,14-16; 5,7-9|break|	168	Joh 18,1 - 19,42	7038	B		.	289; 291; 292; 294; 295; 299; 369; 532	58; 94; 208/209
300	KARFREITAG				11098	Jes 52,13 - 53,12	167	|break|Ps 31,2 u. 6.12-13.15-16.17 u. 25	1145	Hebr 4,14-16; 5,7-9|break|	168	Joh 18,1 - 19,42	7038	C		.	289; 290; 291; 292; 294; 295; 299; 300; 369; 532	58; 94; 208/209
301	KARSAMSTAG													A		.	NULL	NULL
302	KARSAMSTAG													B		.	NULL	NULL
303	KARSAMSTAG													C		.	NULL	NULL
304	OSTERSONNTAG|break|HOCHFEST|break|DER AUFERSTEHUNG|break|DES HERRN				11099	Apg 10,34a.37-43	179	Ps 118	1146	Kol 3,1-4	180	Joh 20,1-9	181	A		.	318; 322; 324; 328; 329	40; 167-175; 246.1+2
305	OSTERSONNTAG|break|HOCHFEST|break|DER AUFERSTEHUNG|break|DES HERRN				11099	Apg 10,34a.37-43	179	Ps 118	1146	Kol 3,1-4	180	Joh 20,1-9	181	B		.	318; 322; 324; 328; 329; 337	40; 138; 167-175; 246.1+2
306	OSTERSONNTAG|break|HOCHFEST|break|DER AUFERSTEHUNG|break|DES HERRN				11099	Apg 10,34a.37-43	179	Ps 118	1146	Kol 3,1-4	180	Joh 20,1-9	181	C		.	318; 321; 322; 324; 328; 329; 337 - 89; 94	40; 138; 152; 167-175; 212; 246.1+2
307	Ostermontag		Mo		11100	Apg 2,14.22b-33	183	Ps 89,2-3.4-5	1153	1 Kor 15,1-8.11	184	Lk 24,13-35	182			.	321; 325; 326; 331; 332; 336; 525	85; 152; 233
308	Wochentag der Osteroktav		Di			Apg 2,14a.36-41	1156	|break|Ps 33,4-5.18-19.20 u. 22	1157			Mt 28,8-15	647			.	NULL	NULL
309	Wochentag der Osteroktav		Mi			Apg 3,1-10	1159	Ps 105,1-2.3-4.6-7.8-9	1160			Joh 20,11-18	1158			.	NULL	NULL
310	Wochentag der Osteroktav		Do			Apg 3,11-26	1161	Ps 8,2 u. 5.6-7.8-9	1162			Lk 24,35-48	459			.	NULL	NULL
311	Wochentag der Osteroktav		Fr			Apg 4,1-12	1163	|break|Ps 118,1 u. 4.22-23.24 u. 26-27a	1164			|break|Joh 21,1-14	192			.	NULL	NULL
312	Wochentag der Osteroktav		Sa			Apg 4,13-21	1165	Ps 118,1-2.14-15.16-17.18-19.20-21	1166			Mk 16,9-15	1167			.	NULL	NULL
313	2. SONNTAG DER OSTERZEIT			Joh 20,29	11101	Apg 2,42-47	186	|break|Ps 118.2 u. 4.14-15.22-23.24 u. 28	1168	|break|1 Petr 1,3-9	187	Joh 20,19-31	188	A		.	318; 324; 328; 329; 331; 338; 533	81; 128; 254; 272
314	2. SONNTAG DER OSTERZEIT			Joh 20,29	11161	Apg 4,32-35	454	|break|Ps 118,2 u. 4.16-17.18 u. 22.23-24	1169	|break|1 Joh 5,1-6	455	Joh 20,19-31	188	B		.	318; 324; 328; 329; 331; 338; 533	81; 128; 254; 272
315	2. SONNTAG DER OSTERZEIT			Joh 20,29	11218	Apg 5,12-16	1740	Ps 118,2 u. 4.22-23.24 u. 26-27a	1198	Offb 1,9-11a.12-13.17-19	1741	Joh 20,19-31	188	C		.	318; 324; 328; 329; 331; 338; 402; 533; 657,6	81; 128; 254; 272
316	Wochentag (2. Woche der Osterzeit)		Mo			Apg 4,23-31	1170	Ps 2,1-3.4-6.7-9	1171			Joh 3,1-8	1172			.	NULL	NULL
317	Wochentag (2. Woche der Osterzeit)		Di			Apg 4,32-37	1173	Ps 93,1.2-3.4-5	1174			|break|Joh 3,7-15	1175			.	NULL	NULL
318	Wochentag (2. Woche der Osterzeit)		Mi			Apg 5,17-26	1176	Ps 34,2-3.4-5.6-7.8-9	1177			|break|Joh 3,16-21	1178			.	NULL	NULL
319	Wochentag (2. Woche der Osterzeit)		Do			Apg 5,27-33	1179	Ps 34,2 u. 9.17-18.19-20	1180			Joh 3,31-36	1642			.	NULL	NULL
320	Wochentag (2. Woche der Osterzeit)		Fr			Apg 5,34-42	1643	Ps 27,1.4.13-14	1181			Joh 6,1-15	1644			.	NULL	NULL
321	Wochentag (2. Woche der Osterzeit)		Sa			Apg 6,1-7	196	Ps 33,1-2.4-5.18-19	1182			Joh 6,16-21	1645			.	NULL	NULL
322	3. SONNTAG DER OSTERZEIT				 11102 oder 11103	Apg 2,14.22b-33	189	|break|Ps 16,1-2 u. 5.7-8.9-10	1183	|break|1 Petr 1,17-21	190	Lk 24,13-35	182	A		.	325; 326; 332; 336; 337; 551	161; 267.2
323	3. SONNTAG DER OSTERZEIT				11162	Apg 3,12a.13-15.17-19	457	Ps 4,2.4.7.8-9	1184	1 Joh 2,1-5a	458	Lk 24,35-48	459	B		.	325; 326; 332; 336; 337; 551	161; 267.2
324	3. SONNTAG DER OSTERZEIT				11219	Apg 5,27-32.40b-41	1742	Ps 30,2 u. 4.5-6b.6cd u. 12a u. 13b	1185	Offb 5,11-14	1743	Joh 21,1-19	1744	C		.	322; 325; 326; 332; 336; 337; 383; 551	161; 233; 267.2
325	Wochentag (3. Woche der Osterzeit)		Mo			Apg 6,8-15	1647	|break|Ps 119,23-24.26-27.29-30	1199			|break|Joh 6,22-29	1648			.	NULL	NULL
326	Wochentag (3. Woche der Osterzeit)		Di			Apg 7,51 - 8,1a	1649	|break|Ps 31,3c-4.6.7b-8a.17.21ab	1200			|break|Joh 6,30-35	1650			.	NULL	NULL
327	Wochentag (3. Woche der Osterzeit)		Mi			Apg 8,1b-8	1651	Ps 66,1-3a.4-5.6-7b	1201			Joh 6,35-40	319			.	NULL	NULL
328	Wochentag (3. Woche der Osterzeit)		Do			Apg 8,26-40	1653	|break|Ps 66,8-9.16-17.19-20	1202			|break|Joh 6,44-51	525			.	NULL	NULL
329	Wochentag (3. Woche der Osterzeit)		Fr			Apg 9,1-20	1654	Ps 117,1.2	1203			|break|Joh 6,52-59	577			.	NULL	NULL
330	Wochentag (3. Woche der Osterzeit)		Sa			Apg 9,31-42	1655	Ps 116,12-13.14-15.16-17	1204			Joh 6,60-69	531			.	NULL	NULL
331	4. SONNTAG DER OSTERZEIT				11104	Apg 2,14a.36-41	193	Ps 23,1-3.4.5.6	1212	1 Petr 2,20b-25	194	Joh 10,1-10	195	A		.	144; 366; 409; 421; 487	64; 106; 257
332	4. SONNTAG DER OSTERZEIT				11163	Apg 4,8-12	460	|break|Ps 118,1 u. 4.8-9.21-22.23 u. 26.28-29	1205	|break|1 Joh 3,1-2	461	Joh 10,11-18	462	B		.	144; 366; 384; 409; 421; 487	64; 81; 106; 257
333	4. SONNTAG DER OSTERZEIT			Joh 10,14	11229	Apg 13,14.43b-52	1745	Ps 100,1-3.4.5	1206	Offb 7,9.14b-17	1746	Joh 10,27-30	1747	C		.	144; 366; 384; 409; 421; 487; 657,6	64; 81; 106; 148; 257
334	Wochentag (4. Woche der Osterzeit)		Mo			Apg 11,1-18	1656	Ps 42,2-3; 43,3.4	1073			Joh 10,1-10	195			.	NULL	NULL
335	Wochentag (4. Woche der Osterzeit)		Di			Apg 11,19-26	1657	Ps 87,2-3.4.5 u. 7	1207			Joh 10,22-30	1658			.	NULL	NULL
336	Wochentag (4. Woche der Osterzeit)		Mi			Apg 12,24 - 13,5	1659	Ps 67,2-3.5.7-8	1208			Joh 12,44-50	1660			.	NULL	NULL
337	Wochentag (4. Woche der Osterzeit)		Do			Apg 13,13-25	351	|break|Ps 89,2-3.20a u. 4-5.27 u. 29	1211			|break|Joh 13,16-20	1661			.	NULL	NULL
338	Wochentag (4. Woche der Osterzeit)		Fr			Apg 13,26-33	1662	Ps 2,6-7.8-9.10-11	1209			Joh 14,1-6	1663			.	NULL	NULL
339	Wochentag (4. Woche der Osterzeit)		Sa			Apg 13,44-52	1664	Ps 98,1.2-3b.3c-4	1210			Joh 14,7-14	1665			.	NULL	NULL
340	5. SONNTAG DER OSTERZEIT				11105	Apg 6,1-7	196	Ps 33,1-2.4-5.18-19	1182	1 Petr 2,4-9	197	Joh 14,1-12	198	A		.	324; 337; 338; 461; 477	134; 267.4
341	5. SONNTAG DER OSTERZEIT				11164	Apg 9,26-31	463	Ps 22,26-28.30-32	1213	1 Joh 3,18-24	464	Joh 15,1-8	465	B		.	324; 338; 362; 461; 477; 491	134; 256; 267.4
342	5. SONNTAG DER OSTERZEIT			Joh 13,34ac	11221	Apg 14,21b-27	1748	Ps 145,1-2.8-9.10-11.13c-14	1214	Offb 21,1-5a	1749	Joh 13,31-33a.34-35	1750	C		.	324; 338; 362; 381; 385; 400; 477; 483	132; 134; 252; 256; 267.4
343	Wochentag (5. Woche der Osterzeit)		Mo			Apg 14,5-18	1666	Ps 115,1-2.3-4.15-16	1215			Joh 14,21-26	1667			.	NULL	NULL
344	Wochentag (5. Woche der Osterzeit)		Di			Apg 14,19-28	1668	|break|Ps 145,10-11.12-13b.20-21	1216			|break|Joh 14,27-31a	1669			.	NULL	NULL
345	Wochentag (5. Woche der Osterzeit)		Mi			Apg 15,1-6	1670	Ps 122,1-3.4-5	1217			|break|Joh 15,1-8	465			.	NULL	NULL
346	Wochentag (5. Woche der Osterzeit)		Do			Apg 15,7-21	1671	Ps 96,1-2.3 u. 10	1218			Joh 15,9-11	1672			.	NULL	NULL
347	Wochentag (5. Woche der Osterzeit)		Fr			Apg 15,22-31	1673	Ps 57,8-9.10-11	1219			Joh 15,12-17	1674			.	NULL	NULL
348	Wochentag (5. Woche der Osterzeit)		Sa			Apg 16,1-10	1675	Ps 100,2-3.4-5	1220			Joh 15,18-21	1676			.	NULL	NULL
349	6. SONNTAG DER OSTERZEIT				11106	Apg 8,5-8.14-17	199	Ps 66,1-3.4-5.6-7.16 u. 20	1221	1 Petr 3,15-18	200	Joh 14,15-21	201	A		.	324; 329; 349; 368	121; 126
350	6. SONNTAG DER OSTERZEIT				11165	Apg 10,25-26.34-35.44-48	214	Ps 98,1.2-3b.3c-4	1222	1 Joh 4,7-10	467	|break|Joh 15,9-17	468	B		.	324; 329; 349; 368; 385	121; 126
351	6. SONNTAG DER OSTERZEIT			vgl. Joh 14,23	11222	Apg 15,1-2.22-29	1751	Ps 67,2-3.5-6.7-8	2666	Offb 21,10-14.22-23	1752	Joh 14,23-29	1753	C		.	326; 329; 349; 368; 450; 551; 553	41; 121; 126
352	Wochentag (6. Woche der Osterzeit)		Mo			Apg 16,11-15	1677	Ps 149,1-2.3-4.5-6a u. 9b	1224			Joh 15,26 - 16,4a	1678			.	NULL	NULL
353	Wochentag (6. Woche der Osterzeit)		Di			Apg 16,22-34	1679	Ps 138,1-2b.2c-3.7c-8	1225			Joh 16,5-11	1680			.	NULL	NULL
354	Wochentag (6. Woche der Osterzeit)		Mi			Apg 17,15.22 - 18,1	1681	|break|Ps 148,1-2.11-12.13-14	1226			Joh 16,12-15	1682			.	NULL	NULL
355	Wochentag (6. Woche der Osterzeit)		Do			Apg 18,1-8	1683	Ps 98	1222			Joh 16,16-20	1685			.	NULL	NULL
356	Wochentag (6. Woche der Osterzeit)		Fr			Apg 18,9-18	1684	Ps 47,2-3.4-5.6-7	1227			Joh 16,20-23a	1686			.	NULL	NULL
357	Wochentag (6. Woche der Osterzeit)		Sa			Apg 18,23-28	1687	Ps 47,2-3.8-9.10	1228			Joh 16,23b-28	1688			.	NULL	NULL
358	CHRISTI HIMMELFAHRT			Mt 28,19a.20b	11107	Apg 1,1-11	202	Ps 47,2-3.6-7.8-9	1229	Eph 1,17-23	203	Mt 28,16-20	204	A		.	339; 319; 332; 368; 551	63; 267.6
359	CHRISTI HIMMELFAHRT			Mt 28,19a.20b	11166	Apg 1,1-11	202	Ps 47,2-3.6-7.8-9	1229	Eph 4,1-13	471	Mk 16,15-20	473	B		.	319; 332; 339; 368; 551	63; 267.6
360	CHRISTI HIMMELFAHRT			Mt 28,19a.20b	11223	Apg 1,1-11	202	Ps 47,2-3.6-7.8-9	1229	Hebr 9,24-28;10,19-23	1754	Lk 24,46-53	1755	C		.	319; 332; 336; 339; 370; 383	63; 161; 267.6
361	7. SONNTAG DER OSTERZEIT			vgl. Joh 14,18; 16,22b	11108	Apg 1,12-14	205	Ps 27,1.4.7-8	1230	1 Petr 4,13-16	206	Joh 17,1-11a	207	A		.	146; 319; 348; 349; 484	62; 126
362	7. SONNTAG DER OSTERZEIT			vgl. Joh 14,18; 16,22b	11167	Apg 1,15-17.20ac-26	474	|break|Ps 103,1-2.11-12.19-20b	1231	|break|1 Joh 4,11-16	475	Joh 17,6a.11b-19	476	B		.	146; 319; 348; 349; 395; 484	62; 116; 126; 145
363	7. SONNTAG DER OSTERZEIT			vgl. Joh 14,18; 16,22b	11224	Apg 7,55-60	1756	Ps 97,1-2.6-7.9 u. 12	1232	Offb 22,12-14.16-17.20	1757	Joh 17,20-26	1695	C		.	319; 348; 349; 370; 394; 395; 484	62; 116; 126; 145
364	Wochentag (7. Woche der Osterzeit)		Mo			Apg 19,1-8	1690	Ps 68,2-3.4 u. 5ad.6-7b	1233			Joh 16,29-33	1691			.	NULL	NULL
365	Wochentag (7. Woche der Osterzeit)		Di			Apg 20,17-27	1692	|break|Ps 68,10-11.20-21	1235			|break|Joh 17,1-11a	207			.	NULL	NULL
366	Wochentag (7. Woche der Osterzeit)		Mi			Apg 20,28-38	1693	|break|Ps 68,29-30a u. 30b u. 32b.33-34.35-36	1236			|break|Joh 17,6a.11b-19	722			.	NULL	NULL
367	Wochentag (7. Woche der Osterzeit)		Do			Apg 22,30; 23,6-11	1694	|break|Ps 16,2 u. 5.7-8.9-11a	1154			Joh 17,20-26	1695			.	NULL	NULL
368	Wochentag (7. Woche der Osterzeit)		Fr			Apg 25,13-21	1696	|break|Ps 103,1-2.11-12.19-20b	1231			|break|Joh 21,1.15-19	1697			.	NULL	NULL
369	Wochentag (7. Woche der Osterzeit)		Sa			Apg 28,16-20.30-31	1698	Ps 11,4.5 u. 7	1237			Joh 21,20-25	1699			.	NULL	NULL
370	PFINGSTSONNTAG				11109	Apg 2,1-11	211	|break|Ps 104,1-2.24-25.29-30.31 u. 34	1239	|break|1 Kor 12,3b-7.12-13	212	|break|Joh 20,19-23	213	A		.	344; 346; 347; 351; 468	49; 125
371	PFINGSTSONNTAG				11168	Apg 2,1-11	211	|break|Ps 104,1-2.24-25.29-30.31 u. 34	1239	|break|Gal 5,16-25	485	Joh 15,26-27; 16,12-15	487	B		.	342; 344; 346; 347; 351; 468	49; 125
372	PFINGSTSONNTAG				11225	Apg 2,1-11	211	|break|Ps 104,1-2.24-25.29-30.31 u. 34	1239	|break|Röm 8,8-17	1758	Joh 14,15-16.23b-26	1759	C		.	341; 342; 344; 345; 346; 347; 351; 468	49; 119; 125
373	Pfingstmontag/Maria, Mutter der Kirche				11110	Apg 10,34-35.42-48a	466	Ps 117,1-2	1240	Eph 4,1b-6	215	|break|Joh 15,26 - 16,3.12-15	216	A		.	346; 411; 477; 487; 489	79; 120; 136
374	Pfingstmontag/Maria, Mutter der Kirche			(ebenso wie Pfingstsonntag 11168; aber Seitenangabe  B 239 (476) fehlt	11168	Apg 8,1bc.4.14-17	488	|break|Ps 22,23-24.26-28.31b-32	1241	|break|Eph 1,3a.4a.13-19a	490	Lk 10,21-24	491	B		.	346; 348; 411; 477; 487; 489	79; 120; 129; 134; 136
375	Pfingstmontag/Maria, Mutter der Kirche				11226	Apg 19,1b-6a	1760	Ps 145,2-3.4-5.8-9.10-11.15-16	1242	Röm 8,14-17	493	Joh 3,16-21	1178	C		.	346; 348; 411; 468; 477; 487; 489	49; 79; 120; 129; 134; 136
376	DREIFALTIGKEITSSONNTAG				11111	Ex 34,4b.5-6.8-9	217	Dan 3,52.53.54.55.56	1124	2 Kor 13,11-13	218	Joh 3,16-18	219	A		.	144; 353; 354; 393; 405; 414	78; 108; 148; 245.1
