id	key	day	weekday	ruf	ruf_id	lesung_1	lesung_1id	antwort	antwortid	lesung_2	lesung_2id	evangelium	evangeliumid	variant	overwrite	ende	gotteslob	unterwegs
137	Maria Königin					Jes 9,1-6	2544	Ps 113,1-5a.6-7	1010			Lk 1,26-38	699			.	NULL	NULL
138	Rosa von Lima, Jungfrau (1617)					2 Kor 1, 17-11,2	2398	Ps 148,1-2.11-14	1478			Mt 13,44-46	2227			.	NULL	NULL
139	BARTHOLOMÄUS, APOSTEL					Offb 21,9b-14	2545	|break|Ps 145,10-11.12-13b.17-18	1629			Joh 1,45-51	2546			.	NULL	NULL
140	Ludwig, König v. Frankreich (1270); Josef v. Calasanz, Priester, Ordensgründer (1648)					Jes 58,6-11 (oder: 1 Kor 12,31-13,13)	2547; 2549	Ps 112,1-7.9; Ps 34,2-11	1630; 1479			Mt 22,34-40; Mt 18, 1-5	2292; 2551			.	NULL	NULL
141	Monika, Mutter des Augustinus (387)					Sir 26,1-4.13-16	2552	Ps 131	1305			Lk 7,11-17	2553			.	NULL	NULL
142	Augustinus, Bischof von Hippo, Kirchenlehrer (430)					1 Joh 4,7-16	2554	Ps 119,9-14	1343			Mt 23,8-12	2237			.	NULL	NULL
143	Enthauptung Johannes' des Täufers					Jer 1,4.17-19	2555	Ps 71,1-3.5-6.15.17	1140			Mk 6,17-29	2557		evangelium	.	NULL	NULL
144	Paulinus, Bischof von Trier, Märtyrer (358)					1 Joh 5,1-5	2558	Ps 37,2-6.30-31	1475			Mt 10,22-25a	2436			.	NULL	NULL
145	Gregor der Große, Papst, Kirchenlehrer (604)					2 Kor 4,1-2.5-7	2361	Ps 96,1-3.7-8.10	934			Lk 22,24-30	2295			.	NULL	NULL
146	MARIÄ GEBURT					Mi 5,1-4a (oder: Röm 8,28-30)	602	Ps 13,6ab.6cd	1632			Mt 1,1-16.18-23	352			.	NULL	NULL
147	Petrus Claver, Ordenspriester (1654)															.	NULL	NULL
148	Mariä Namen					Jes 61,9-11	2334	1 Sam 2,1b-e.4-5b.6-8d	836			Lk 1,26-38	699			.	NULL	NULL
149	Johannes Chrysostomus, Bi. v. Konstantinopel, Kirchenl. (407)					Eph 4,1-7.11-13	2393	Ps 40,2.4ab.7-10	912			Mk 4,1-10.13-20 (bzw. Mk 4,1-9)	2559			.	NULL	NULL
150	KREUZERHÖHUNG				11597	Num 21,4-9	1120	|break|Ps 78,1-2.34-35.36-37.38ab u. 39	1316	|break|Phil 2,6-11	159	Joh 3,13-17	1825			.		NULL
151	Gedächtnis der Schmerzen Mariens					Hebr 5,7-9	421	Ps 31,2-6.15-16.20	1633			Joh 19,25-27 (o.: Lk 2,33-35)	2450		evangelium	.	NULL	NULL
152	Kornelius, Papst (253), und Cyprian, Bi. v. Karthago, Märt. (258)					2 Kor 4,7-15	2228	Ps 126	1477			Joh 17,6a.11b-19	723			.	NULL	NULL
153	Hildegard von Bingen, Äbtissin, Mystikerin, Kirchenlehrerin (1179); Robert Bellarmin, Ordenspr., Bischof von Capua, Kirchenl. (1621)					Weis 8,1-6 (oder: Weish 7,7-10.15-16)	2563; 2236	Ps 45,11-12.14-17; Ps 19,8-12	1534; 2640			Mt 25,1-13; Mt 7,21-29	2105; 2298			.	NULL	NULL
154	Lambert, Bi. v. Maastricht (Tongern), Glaubensb., Märtyrer (um 705)					Ez 34,11-16	2564	Ps 23	1246			Joh 10,11-16	2332			.	NULL	NULL
